reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
Z B,,,No Title (Google Maps),J'y suis allé pour manger bonne ambiance on peut fumer à l'intérieur c'est un peu plus cher que dans d'autres restaurants à Tunis,Google Maps,jy suis allé pour manger bonne ambiance on peut fumer à lintérieur cest un peu plus cher que dans dautres restaurants à tunis,jy suis allé manger bonne ambiance peut fumer lintérieur cest peu plus cher dautres restaurants tunis,jy sui allé manger bonne ambiance peut fumer lintérieur cest peu plu cher dautre restaurant tuni,16
Karama Ben Amor,,,No Title (Google Maps),un lieu sympathique et tranquille de 17h jusqu'a 21h puis il ya de la musique en live. sinon le B2B est bien pas super le service est un peu lent .,Google Maps,un lieu sympathique et tranquille de h jusqua h puis il ya de la musique en live sinon le bb est bien pas super le service est un peu lent,lieu sympathique tranquille h jusqua h puis ya musique live sinon bb est bien super service est peu lent,lieu sympathique tranquille h jusqua h pui ya musique live sinon bb est bien super service est peu lent,19
BOUZID HICHEM,,,No Title (Google Maps),"Très difficile de trouver où se garer. Les chambres sont très brouillantes la nuit, et impossible à dormir calmement, à cause du restaurant spectacle au 6 ème etage. Sercice très lent.",Google Maps,très difficile de trouver où se garer les chambres sont très brouillantes la nuit et impossible à dormir calmement à cause du restaurant spectacle au  ème etage sercice très lent,très difficile trouver où garer chambres sont très brouillantes nuit impossible dormir calmement cause restaurant spectacle ème etage sercice très lent,trè difficile trouver où garer chambre sont trè brouillante nuit impossible dormir calme cause restaurant spectacle ème etage sercice trè lent,21
stephane de noray,,,No Title (Google Maps),Personnel très agréable. Trop de bruit dans les restaurants boîtes de nuits du 1er et du 6eme étage le weekend,Google Maps,personnel très agréable trop de bruit dans les restaurants boîtes de nuits du er et du eme étage le weekend,personnel très agréable trop bruit restaurants boîtes nuits er eme étage weekend,personnel trè agréable trop bruit restaurant boîte nuit er eme étage weekend,12
location voitures ROYALCAR,,,No Title (Google Maps),"Chaleureux
Convivial
Mais emplacement très délicat, on ne peut pas se garer facilement,  l'accessibilité aussi très difficile en voiture pendant la journée",Google Maps,"chaleureux
convivial
mais emplacement très délicat on ne peut pas se garer facilement  laccessibilité aussi très difficile en voiture pendant la journée",chaleureux convivial emplacement très délicat peut garer facilement laccessibilité très difficile voiture pendant journée,chaleureux convivial emplace trè délicat peut garer facile laccessibilité trè difficile voiture pendant journée,14
PONS Chantal,,,No Title (Google Maps),Bel établissement. Très bon accueil. Tt ok sauf éclairage SDB faible.,Google Maps,bel établissement très bon accueil tt ok sauf éclairage sdb faible,bel établissement très bon accueil tt ok sauf éclairage sdb faible,bel établisse trè bon accueil tt ok sauf éclairage sdb faible,11
Othmane Lahlou,,,No Title (Google Maps),"Accueil très chaleureux, chambres propres et petit-déjeuner copieux, rooftop agréable !",Google Maps,accueil très chaleureux chambres propres et petitdéjeuner copieux rooftop agréable,accueil très chaleureux chambres propres petitdéjeuner copieux rooftop agréable,accueil trè chaleureux chambre propre petitdéjeuner copieux rooftop agréable,9
MOHAMED YAKHLEF,,,No Title (Google Maps),"Très bon hôtel
Personnels agréables
Propreté et le calme",Google Maps,"très bon hôtel
personnels agréables
propreté et le calme",très bon hôtel personnels agréables propreté calme,trè bon hôtel personnel agréable propreté calme,7
Balloumi Hamed,,,No Title (Google Maps),Une belle expérience,Google Maps,une belle expérience,belle expérience,belle expérience,2
Kapa pello,,,No Title (Google Maps),"Les deux bars de cet établissement sint formellement interdits aux indigènes non privilégiés sous des prétextes drôles et fragiles
j'espère qu'ils auront le courage de le mentionner clairement pour nous épargner une humiliation gratuite aux portes",Google Maps,"les deux bars de cet établissement sint formellement interdits aux indigènes non privilégiés sous des prétextes drôles et fragiles
jespère quils auront le courage de le mentionner clairement pour nous épargner une humiliation gratuite aux portes",deux bars établissement sint formellement interdits indigènes non privilégiés sous prétextes drôles fragiles jespère quils courage mentionner clairement épargner humiliation gratuite portes,deux bar établisse sint formelle interdit indigène non privilégié sou prétexte drôle fragile jespère quil courage mentionner claire épargner humiliation gratuite porte,22
Muhammad Awal,,,No Title (Google Maps),Propre,Google Maps,propre,propre,propre,1
Asmâa Bassouri,,,No Title (Google Maps),"Structure clean, personnel aimable, à seulement 15 min de l'aéroport.. seul souci était leur wifi qui ne marchait pas !",Google Maps,structure clean personnel aimable à seulement  min de laéroport seul souci était leur wifi qui ne marchait pas,structure clean personnel aimable seulement min laéroport seul souci était wifi marchait,structure clean personnel aimable seule min laéroport seul souci était wifi marchait,12
Zinou Zoubir,,,No Title (Google Maps),Superbe tres calme les gens tres gentil et chaleureux seulment j'ai passé 1heur pour trouver avec la voiture je revien et je le  conseille,Google Maps,superbe tres calme les gens tres gentil et chaleureux seulment jai passé heur pour trouver avec la voiture je revien et je le  conseille,superbe tres calme gens tres gentil chaleureux seulment jai passé heur trouver voiture revien conseille,superbe tre calme gen tre gentil chaleureux seul jai passé heur trouver voiture revien conseille,15
Fromagerie Testouri,,,No Title (Google Maps),Hôtel sympa au centre deTunis. Par contre pour vous garer faut y aller. Pas desservi par les transports.,Google Maps,hôtel sympa au centre detunis par contre pour vous garer faut y aller pas desservi par les transports,hôtel sympa centre detunis contre garer faut aller desservi transports,hôtel sympa centre detuni contre garer faut aller desservi transport,10
Abderrazak Debbich,,,No Title (Google Maps),Super ambiance avec un exelent accueil de la part de reception de monsieur manaa ayari je te remercie énorme,Google Maps,super ambiance avec un exelent accueil de la part de reception de monsieur manaa ayari je te remercie énorme,super ambiance exelent accueil part reception monsieur manaa ayari remercie énorme,super ambiance exelent accueil part reception monsieur manaa ayari remercie énorme,11
abderahmane djalal chadli,,,No Title (Google Maps),J'ai passé un agréable séjour dans cet établissement mention spéciale pour sawsan -Sofiane et amir,Google Maps,jai passé un agréable séjour dans cet établissement mention spéciale pour sawsan sofiane et amir,jai passé agréable séjour établissement mention spéciale sawsan sofiane amir,jai passé agréable séjour établisse mention spéciale sawsan sofiane amir,10
Patrick Renault,,,No Title (Google Maps),Lounge et restaurant de qualité. Nous reviendrons pour l’hôtel,Google Maps,lounge et restaurant de qualité nous reviendrons pour lhôtel,lounge restaurant qualité reviendrons lhôtel,lounge restaurant qualité reviendron lhôtel,5
Daniel Monceau,,,No Title (Google Maps),Super accueil personnel très compétant serviable et très gentil,Google Maps,super accueil personnel très compétant serviable et très gentil,super accueil personnel très compétant serviable très gentil,super accueil personnel trè compétant serviable trè gentil,8
Les cinq tours,,,No Title (Google Maps),"Chambres nikels, personel au petit soin, seul bemol bruit de la boite de nuit, sauf pour les fétards une vraie aubaine.",Google Maps,chambres nikels personel au petit soin seul bemol bruit de la boite de nuit sauf pour les fétards une vraie aubaine,chambres nikels personel petit soin seul bemol bruit boite nuit sauf fétards vraie aubaine,chambre nikel personel petit soin seul bemol bruit boite nuit sauf fétard vraie aubaine,14
NAD,,,No Title (Google Maps),"Excellent service, l'hôtesse d'accueil Rihab est souriante et professionnelle",Google Maps,excellent service lhôtesse daccueil rihab est souriante et professionnelle,excellent service lhôtesse daccueil rihab est souriante professionnelle,excellent service lhôtesse daccueil rihab est souriante professionnelle,8
Mouna Mouna,,,No Title (Google Maps),Gérant de luna sky ne c mm pa se communiquer avec les clients d'une façon respectable,Google Maps,gérant de luna sky ne c mm pa se communiquer avec les clients dune façon respectable,gérant luna sky mm pa communiquer clients dune façon respectable,gérant luna sky mm pa communiquer client dune façon respectable,10
Chaima Bouanani,,,No Title (Google Maps),"Service au top
Chambre impeccable
Je recommande les yeux fermés
Merci ❤️",Google Maps,"service au top
chambre impeccable
je recommande les yeux fermés
merci",service top chambre impeccable recommande yeux fermés merci,service top chambre impeccable recommande yeux fermé merci,8
Ridha SAADAOUI,,,No Title (Google Maps),Très bonne ambiance (ok) hygiène  (ok) bouffe  (ok) Agents de sécurité respectueux  (No),Google Maps,très bonne ambiance ok hygiène  ok bouffe  ok agents de sécurité respectueux  no,très bonne ambiance ok hygiène ok bouffe ok agents sécurité respectueux no,trè bonne ambiance ok hygiène ok bouffe ok agent sécurité respectueux no,12
Mahamoud Traore,,,No Title (Google Maps),"Tres convivial, ils sont accueillants,  et le cadre est idyllique",Google Maps,tres convivial ils sont accueillants  et le cadre est idyllique,tres convivial sont accueillants cadre est idyllique,tre convivial sont accueillant cadre est idyllique,7
aziz abderrazak,,,No Title (Google Maps),Un très mauvais hôtel je vous conseille de faire de bons gateaux,Google Maps,un très mauvais hôtel je vous conseille de faire de bons gateaux,très mauvais hôtel conseille faire bons gateaux,trè mauvai hôtel conseille faire bon gateaux,7
Mohamed Amine ABID,,,No Title (Google Maps),Lieu convivial et un staff très accueillant,Google Maps,lieu convivial et un staff très accueillant,lieu convivial staff très accueillant,lieu convivial staff trè accueillant,5
LOIC LTG,,,No Title (Google Maps),"Bon séjour, malgré la musique très forte le weekend..",Google Maps,bon séjour malgré la musique très forte le weekend,bon séjour malgré musique très forte weekend,bon séjour malgré musique trè forte weekend,7
Laurence Von Moos (Pousse Nature),,,No Title (Google Maps),"Top, et le buffet du déjeuner avec des spécialités locales est excellent !",Google Maps,top et le buffet du déjeuner avec des spécialités locales est excellent,top buffet déjeuner spécialités locales est excellent,top buffet déjeuner spécialité locale est excellent,7
Mariam Sassi,,,No Title (Google Maps),"Très cher en rapport qualité-prix, il faut un meilleur service pour ces prix là.",Google Maps,très cher en rapport qualitéprix il faut un meilleur service pour ces prix là,très cher rapport qualitéprix faut meilleur service prix là,trè cher rapport qualitéprix faut meilleur service prix là,9
Mehdi J,,,No Title (Google Maps),Le service n'est pas très rapide durant les heures de forte affluence,Google Maps,le service nest pas très rapide durant les heures de forte affluence,service nest très rapide durant heures forte affluence,service nest trè rapide durant heure forte affluence,8
Hazar Msaddek,,,No Title (Google Maps),Parmi les meilleurs hôtels 4 étoiles,Google Maps,parmi les meilleurs hôtels  étoiles,parmi meilleurs hôtels étoiles,parmi meilleur hôtel étoile,4
Abdelmouneam GHORISSI,,,No Title (Google Maps),Parking a l'extérieur de l'hôtel,Google Maps,parking a lextérieur de lhôtel,parking lextérieur lhôtel,parking lextérieur lhôtel,3
Mahdi Gharbi,,,No Title (Google Maps),Top de top,Google Maps,top de top,top top,top top,2
Younsi Wissem,,,No Title (Google Maps),Staff 🥇✅ …,Google Maps,staff,staff,staff,1
Mbouma Baningui Theophile Thimothe,,,No Title (Google Maps),Lieu agréable et correct. Personnel professionnel,Google Maps,lieu agréable et correct personnel professionnel,lieu agréable correct personnel professionnel,lieu agréable correct personnel professionnel,5
Amine MESTIRI,,,No Title (Google Maps),Excellent buffet et service,Google Maps,excellent buffet et service,excellent buffet service,excellent buffet service,3
arnaud boussu,,,No Title (Google Maps),"Lieu chaleureux, avec un bon restaurant",Google Maps,lieu chaleureux avec un bon restaurant,lieu chaleureux bon restaurant,lieu chaleureux bon restaurant,4
ben fraj montassar,,,No Title (Google Maps),Confortable et pratique en plein centre ville,Google Maps,confortable et pratique en plein centre ville,confortable pratique plein centre ville,confortable pratique plein centre ville,5
Rawaa Matmati,,,No Title (Google Maps),Sympa mais trop chère,Google Maps,sympa mais trop chère,sympa trop chère,sympa trop chère,3
Fethi Mezgheni,,,No Title (Google Maps),Très beau hôtel,Google Maps,très beau hôtel,très beau hôtel,trè beau hôtel,3
Kais Karoui,,,No Title (Google Maps),Bon hotel,Google Maps,bon hotel,bon hotel,bon hotel,2
Slim KEFI,,,No Title (Google Maps),Très bon accueil et service,Google Maps,très bon accueil et service,très bon accueil service,trè bon accueil service,4
Sylvie Terret,,,No Title (Google Maps),Des réceptionnistes souriants et serviables,Google Maps,des réceptionnistes souriants et serviables,réceptionnistes souriants serviables,réceptionniste souriant serviable,3
Haythem Mkadmi,,,No Title (Google Maps),Très bel coin,Google Maps,très bel coin,très bel coin,trè bel coin,3
zied romdhani,,,No Title (Google Maps),Je l'adore,Google Maps,je ladore,ladore,ladore,1
samir said,,,No Title (Google Maps),No Text,Google Maps,no text,no text,no text,2
akram harbi,,,No Title (Google Maps),Endroit très sympathique,Google Maps,endroit très sympathique,endroit très sympathique,endroit trè sympathique,3
Jade Lola,,,No Title (Google Maps),No Text,Google Maps,no text,no text,no text,2
Aymen Ben Khessib,,,No Title (Google Maps),Luxe,Google Maps,luxe,luxe,luxe,1
Khadija Kesraoui,,,No Title (Google Maps),Bien,Google Maps,bien,bien,bien,1
Mehdi Bouaziz,,,No Title (Google Maps),Bonne ambiance,Google Maps,bonne ambiance,bonne ambiance,bonne ambiance,2
kais garouachi,,,No Title (Google Maps),Excellent,Google Maps,excellent,excellent,excellent,1
Khaled Hajri,,,No Title (Google Maps),Lieux agréable,Google Maps,lieux agréable,lieux agréable,lieux agréable,2
esteve Allioucha,,,No Title (Google Maps),Comme à la maison,Google Maps,comme à la maison,maison,maison,1
Mohamed ksouri,,,No Title (Google Maps),Hôtel de ville au centre ville,Google Maps,hôtel de ville au centre ville,hôtel ville centre ville,hôtel ville centre ville,4
Mehrez CHTOUROU,,,No Title (Google Maps),Ambiance intime,Google Maps,ambiance intime,ambiance intime,ambiance intime,2
Robert Maccario,,,No Title (Google Maps),No Text,Google Maps,no text,no text,no text,2
Sondès Harrabi,,,No Title (Google Maps),Hôtel pour un voyage d'affaire,Google Maps,hôtel pour un voyage daffaire,hôtel voyage daffaire,hôtel voyage daffaire,3
Christophe ZELLEK,,,No Title (Google Maps),No Text,Google Maps,no text,no text,no text,2
Oussama Mt,,,No Title (Google Maps),Magnifique,Google Maps,magnifique,magnifique,magnifique,1
Mohamed Rajhi,,,No Title (Google Maps),🏩🏩🏩🏩🍸🍺🍷🍹🍻🍖🍗🍢🍡🍝🌇🌇 …,Google Maps,,,,0
Mouadh Mathlouthi,,,No Title (Google Maps),Hôtel professionnel,Google Maps,hôtel professionnel,hôtel professionnel,hôtel professionnel,2
n'gboba ruth,,,No Title (Google Maps),Bien,Google Maps,bien,bien,bien,1
C'est moi,,,No Title (Google Maps),"Nous avons payé 612 TND pour la chambre et 197 TND pour le dîner au restaurant de l’hôtel. Au moment du départ, la réception nous a fait attendre pour vérifier le mini-bar… alors qu’il ne contenait que des choses qui ne dépasse pas 10 TND. …",Google Maps,nous avons payé  tnd pour la chambre et  tnd pour le dîner au restaurant de lhôtel au moment du départ la réception nous a fait attendre pour vérifier le minibar alors quil ne contenait que des choses qui ne dépasse pas  tnd,payé tnd chambre tnd dîner restaurant lhôtel moment départ réception fait attendre vérifier minibar quil contenait choses dépasse tnd,payé tnd chambre tnd dîner restaurant lhôtel mo départ réception fait attendre vérifier minibar quil contenait chose dépasse tnd,19
Ghazi Haj Salah,,,No Title (Google Maps),Bien,Google Maps,bien,bien,bien,1
Djelassi Ramzi,,,No Title (Google Maps),Bien,Google Maps,bien,bien,bien,1
Mohamed Lamine,,,No Title (Google Maps),"L'hôtel est bien situé en plein centre de Tunis, dans le quartier de Montplaisir, à proximité de l'avenue Habib Bourguiba et du métro. Les chambres sont propres, climatisées et insonorisées, mais plutôt petites. Le restaurant et les espaces …",Google Maps,lhôtel est bien situé en plein centre de tunis dans le quartier de montplaisir à proximité de lavenue habib bourguiba et du métro les chambres sont propres climatisées et insonorisées mais plutôt petites le restaurant et les espaces,lhôtel est bien situé plein centre tunis quartier montplaisir proximité lavenue habib bourguiba métro chambres sont propres climatisées insonorisées plutôt petites restaurant espaces,lhôtel est bien situé plein centre tuni quartier montplaisir proximité lavenue habib bourguiba métro chambre sont propre climatisée insonorisée plutôt petite restaurant espace,23
Aline Feddal,,,No Title (Google Maps),"L'hôtel est magnifique et très propre. Le personnel de la réception est accueillant et toujours souriant. La chambre est un peu petite, mais le lit est très confortable. …",Google Maps,lhôtel est magnifique et très propre le personnel de la réception est accueillant et toujours souriant la chambre est un peu petite mais le lit est très confortable,lhôtel est magnifique très propre personnel réception est accueillant toujours souriant chambre est peu petite lit est très confortable,lhôtel est magnifique trè propre personnel réception est accueillant toujour souriant chambre est peu petite lit est trè confortable,19
Mattia Zorzi,,,No Title (Google Maps),"La musique du club résonne et nous empêche de dormir toute la nuit. La réceptionniste à notre arrivée était désagréable ; elle nous a dit de nous asseoir pendant qu'elle vérifiait nos passeports. En fait, elle s'attendait à ce que nous …",Google Maps,la musique du club résonne et nous empêche de dormir toute la nuit la réceptionniste à notre arrivée était désagréable  elle nous a dit de nous asseoir pendant quelle vérifiait nos passeports en fait elle sattendait à ce que nous,musique club résonne empêche dormir toute nuit réceptionniste arrivée était désagréable dit asseoir pendant quelle vérifiait passeports fait sattendait,musique club résonne empêche dormir toute nuit réceptionniste arrivée était désagréable dit asseoir pendant quelle vérifiait passeport fait sattendait,19
Ömer Faruk Terzi,,,No Title (Google Maps),"En tant qu'ancien hôtelier, j'ai été chaleureusement accueilli à la réception. La chambre était très propre et Hasan, le monsieur qui s'est occupé du transfert vers Sfax, s'est montré particulièrement serviable et prévenant. Je recommande vivement cet hôtel.",Google Maps,en tant quancien hôtelier jai été chaleureusement accueilli à la réception la chambre était très propre et hasan le monsieur qui sest occupé du transfert vers sfax sest montré particulièrement serviable et prévenant je recommande vivement cet hôtel,tant quancien hôtelier jai été chaleureusement accueilli réception chambre était très propre hasan monsieur sest occupé transfert vers sfax sest montré particulièrement serviable prévenant recommande vivement hôtel,tant quancien hôtelier jai été chaleureuse accueilli réception chambre était trè propre hasan monsieur sest occupé transfert ver sfax sest montré particulière serviable prévenant recommande vive hôtel,27
Samer Khashou,,,No Title (Google Maps),"Une équipe formidable et sympathique, très serviable.
Omayma, réceptionniste exceptionnelle, m'a fait me sentir comme à la maison pendant mon séjour. …",Google Maps,"une équipe formidable et sympathique très serviable
omayma réceptionniste exceptionnelle ma fait me sentir comme à la maison pendant mon séjour",équipe formidable sympathique très serviable omayma réceptionniste exceptionnelle fait sentir maison pendant séjour,équipe formidable sympathique trè serviable omayma réceptionniste exceptionnelle fait sentir maison pendant séjour,13
Rami Shahawy,,,No Title (Google Maps),"Le Business Hotel se distingue par sa propreté, la qualité de son service et son personnel de réception exceptionnel. J'ai été accueilli par Mme Susan, qui m'a traité avec le plus grand professionnalisme et m'a offert un surclassement …",Google Maps,le business hotel se distingue par sa propreté la qualité de son service et son personnel de réception exceptionnel jai été accueilli par mme susan qui ma traité avec le plus grand professionnalisme et ma offert un surclassement,business hotel distingue propreté qualité service personnel réception exceptionnel jai été accueilli mme susan traité plus grand professionnalisme offert surclassement,busines hotel distingue propreté qualité service personnel réception exceptionnel jai été accueilli mme susan traité plu grand professionnalisme offert surclasse,20
Ali Mert,,,No Title (Google Maps),"C'est un très bel hôtel, l'accueil, la réception (parfait), tout le personnel est attentionné, c'est un hôtel d'une propreté irréprochable.",Google Maps,cest un très bel hôtel laccueil la réception parfait tout le personnel est attentionné cest un hôtel dune propreté irréprochable,cest très bel hôtel laccueil réception parfait tout personnel est attentionné cest hôtel dune propreté irréprochable,cest trè bel hôtel laccueil réception parfait tout personnel est attentionné cest hôtel dune propreté irréprochable,16
Nezha Soumir,,,No Title (Google Maps),"Au début, ils nous ont dit que les ressortissants du Maghreb ne payaient que 3 $ de taxe de séjour, et que je devais simplement présenter un document prouvant ma nationalité marocaine. Mais au moment du départ, ils ont soudainement changé …",Google Maps,au début ils nous ont dit que les ressortissants du maghreb ne payaient que   de taxe de séjour et que je devais simplement présenter un document prouvant ma nationalité marocaine mais au moment du départ ils ont soudainement changé,début ont dit ressortissants maghreb payaient taxe séjour devais simplement présenter document prouvant nationalité marocaine moment départ ont soudainement changé,début ont dit ressortissant maghreb payaient taxe séjour devai simple présenter docu prouvant nationalité marocaine mo départ ont soudaine changé,20
muhittin salem,,,No Title (Google Maps),"Les chambres sont un peu petites.

Mais il vaut mieux éviter les chambres près du toit à cause du bruit du bar.",Google Maps,"les chambres sont un peu petites

mais il vaut mieux éviter les chambres près du toit à cause du bruit du bar",chambres sont peu petites vaut mieux éviter chambres près toit cause bruit bar,chambre sont peu petite vaut mieux éviter chambre prè toit cause bruit bar,13
Yahia a,,,No Title (Google Maps),"Réceptionnistes très accueillants surtout Mohamed était serviable et très sympathique, la suite était agréable, ils ont préparé le petit déjeuner à 4 heures du matin avant notre vol, je recommande cet hôtel.",Google Maps,réceptionnistes très accueillants surtout mohamed était serviable et très sympathique la suite était agréable ils ont préparé le petit déjeuner à  heures du matin avant notre vol je recommande cet hôtel,réceptionnistes très accueillants surtout mohamed était serviable très sympathique suite était agréable ont préparé petit déjeuner heures matin vol recommande hôtel,réceptionniste trè accueillant surtout mohamed était serviable trè sympathique suite était agréable ont préparé petit déjeuner heure matin vol recommande hôtel,21
ci wael,,,No Title (Google Maps),"J'ai adoré mon séjour au Business Hotel ! L'atmosphère de l'hôtel était relaxante et le petit-déjeuner était délicieux. Un grand merci à Omaima et Mohammed, de la réception, qui ont été très gentils et serviables. Merci.",Google Maps,jai adoré mon séjour au business hotel  latmosphère de lhôtel était relaxante et le petitdéjeuner était délicieux un grand merci à omaima et mohammed de la réception qui ont été très gentils et serviables merci,jai adoré séjour business hotel latmosphère lhôtel était relaxante petitdéjeuner était délicieux grand merci omaima mohammed réception ont été très gentils serviables merci,jai adoré séjour busines hotel latmosphère lhôtel était relaxante petitdéjeuner était délicieux grand merci omaima mohammed réception ont été trè gentil serviable merci,23
Sinan Beyazit,,,No Title (Google Maps),"Nous avons séjourné dans cet hôtel pour un voyage de trois jours en ville et malheureusement, l'expérience n'a pas répondu à nos attentes. …",Google Maps,nous avons séjourné dans cet hôtel pour un voyage de trois jours en ville et malheureusement lexpérience na pas répondu à nos attentes,séjourné hôtel voyage trois jours ville malheureusement lexpérience na répondu attentes,séjourné hôtel voyage troi jour ville malheureuse lexpérience na répondu attente,11
Simran B,,,No Title (Google Maps),"Proche de l'aéroport et à 10 minutes en voiture de la gare. J'y ai passé une nuit. C'est correct, rien de spécial. …",Google Maps,proche de laéroport et à  minutes en voiture de la gare jy ai passé une nuit cest correct rien de spécial,proche laéroport minutes voiture gare jy passé nuit cest correct rien spécial,proche laéroport minute voiture gare jy passé nuit cest correct rien spécial,12
mounirat281,,,No Title (Google Maps),"Les plus beaux hôtels de Tunis, offrant un service exceptionnel, des prestations luxueuses et un emplacement idéal : à proximité de l’aéroport, du musée du Bardo et de la médina… | Chambres propres et confortables | Personnel très aimable, serviable et accueillant.",Google Maps,les plus beaux hôtels de tunis offrant un service exceptionnel des prestations luxueuses et un emplacement idéal  à proximité de laéroport du musée du bardo et de la médina  chambres propres et confortables  personnel très aimable serviable et accueillant,plus beaux hôtels tunis offrant service exceptionnel prestations luxueuses emplacement idéal proximité laéroport musée bardo médina chambres propres confortables personnel très aimable serviable accueillant,plu beaux hôtel tuni offrant service exceptionnel prestation luxueuse emplace idéal proximité laéroport musée bardo médina chambre propre confortable personnel trè aimable serviable accueillant,24
piero morson,,,No Title (Google Maps),"Sympa, propre et convivial... mais la musique disco est vraiment trop agaçante !",Google Maps,sympa propre et convivial mais la musique disco est vraiment trop agaçante,sympa propre convivial musique disco est vraiment trop agaçante,sympa propre convivial musique disco est vrai trop agaçante,9
Zied Kallel,,,No Title (Google Maps),"J'ai passé un séjour globalement agréable.

La chambre était propre et bien entretenue, à l'exception de quelques …",Google Maps,"jai passé un séjour globalement agréable

la chambre était propre et bien entretenue à lexception de quelques",jai passé séjour globalement agréable chambre était propre bien entretenue lexception quelques,jai passé séjour globale agréable chambre était propre bien entretenue lexception quelque,12
Michele Corazza,,,No Title (Google Maps),"Bon hôtel, conforme aux standards locaux, mais le prix est raisonnable.
Le personnel est très aimable. La nourriture est bonne, fraîche et le petit-déjeuner propose un large choix. Emplacement stratégique pour les travailleurs …",Google Maps,"bon hôtel conforme aux standards locaux mais le prix est raisonnable
le personnel est très aimable la nourriture est bonne fraîche et le petitdéjeuner propose un large choix emplacement stratégique pour les travailleurs",bon hôtel conforme standards locaux prix est raisonnable personnel est très aimable nourriture est bonne fraîche petitdéjeuner propose large choix emplacement stratégique travailleurs,bon hôtel conforme standard locaux prix est raisonnable personnel est trè aimable nourriture est bonne fraîche petitdéjeuner propose large choix emplace stratégique travailleur,23
Sarkoti,,,No Title (Google Maps),Chambre très propre et bien située avec un service serviable,Google Maps,chambre très propre et bien située avec un service serviable,chambre très propre bien située service serviable,chambre trè propre bien située service serviable,7
coppingshg3,,,No Title (Google Maps),"J'ai séjourné à l'hôtel un samedi soir entre deux vols. L'enregistrement a été très rapide et la sécurité à l'entrée était professionnelle. Cependant, la musique du pub/boîte de nuit était insupportable pendant que j'étais à la réception. …",Google Maps,jai séjourné à lhôtel un samedi soir entre deux vols lenregistrement a été très rapide et la sécurité à lentrée était professionnelle cependant la musique du pubboîte de nuit était insupportable pendant que jétais à la réception,jai séjourné lhôtel samedi soir entre deux vols lenregistrement été très rapide sécurité lentrée était professionnelle cependant musique pubboîte nuit était insupportable pendant jétais réception,jai séjourné lhôtel samedi soir entre deux vol lenregistre été trè rapide sécurité lentrée était professionnelle cependant musique pubboîte nuit était insupportable pendant jétai réception,25
255tatjanam,,,No Title (Google Maps),"Avis de Tatjana Mölter | 1/5 | Il y a 1 jour sur Google | Mon mari et moi avons passé 10 jours dans cet hôtel. Les chambres sont correctes, le petit-déjeuner passable, mais tout cela importe peu puisque nous n'avons pas fermé l'œil de la …",Google Maps,avis de tatjana mölter    il y a  jour sur google  mon mari et moi avons passé  jours dans cet hôtel les chambres sont correctes le petitdéjeuner passable mais tout cela importe peu puisque nous navons pas fermé lœil de la,avis tatjana mölter jour google mari passé jours hôtel chambres sont correctes petitdéjeuner passable tout importe peu puisque navons fermé lœil,avi tatjana mölter jour google mari passé jour hôtel chambre sont correcte petitdéjeuner passable tout importe peu puisque navon fermé lœil,21
nitajo90,,,No Title (Google Maps),"C'est peut-être la troisième fois que je séjourne dans cet hôtel, et j'ai décidé de partager mon avis car il mérite vraiment une excellente critique. J'y ai passé 10 jours pour un long voyage d'affaires, et j'ai adoré son emplacement idéal. …",Google Maps,cest peutêtre la troisième fois que je séjourne dans cet hôtel et jai décidé de partager mon avis car il mérite vraiment une excellente critique jy ai passé  jours pour un long voyage daffaires et jai adoré son emplacement idéal,cest peutêtre troisième fois séjourne hôtel jai décidé partager avis mérite vraiment excellente critique jy passé jours long voyage daffaires jai adoré emplacement idéal,cest peutêtre troisième foi séjourne hôtel jai décidé partager avi mérite vrai excellente critique jy passé jour long voyage daffaire jai adoré emplace idéal,24
mario Sorrentino,,,No Title (Google Maps),Tout. Parfait.,Google Maps,tout parfait,tout parfait,tout parfait,2
lotharl99,,,No Title (Google Maps),"L'emplacement de l'hôtel est discutable, tout comme l'insonorisation des fenêtres donnant sur la rue. Mais c'est tout. Vous y trouverez un hôtel décoré avec beaucoup de goût et d'une propreté exceptionnelle, avec un personnel incroyablement …",Google Maps,lemplacement de lhôtel est discutable tout comme linsonorisation des fenêtres donnant sur la rue mais cest tout vous y trouverez un hôtel décoré avec beaucoup de goût et dune propreté exceptionnelle avec un personnel incroyablement,lemplacement lhôtel est discutable tout linsonorisation fenêtres donnant rue cest tout trouverez hôtel décoré beaucoup goût dune propreté exceptionnelle personnel incroyablement,lemplace lhôtel est discutable tout linsonorisation fenêtre donnant rue cest tout trouverez hôtel décoré beaucoup goût dune propreté exceptionnelle personnel incroyable,21
