reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
Audrey Phinoson,,,No Title (Google Maps),"Un très bel hôtel, confortable, propre, service de qualité ! Des mets succulents. Le plus le rooftop !!! Le moins un peu bruyant la nuit.
Il ne manque qu’une salle de sport pour parfaire les services de cet hôtel.",Google Maps,"un très bel hôtel confortable propre service de qualité  des mets succulents le plus le rooftop  le moins un peu bruyant la nuit
il ne manque quune salle de sport pour parfaire les services de cet hôtel",très bel hôtel confortable propre service qualité mets succulents plus rooftop moins peu bruyant nuit manque quune salle sport parfaire services hôtel,trè bel hôtel confortable propre service qualité met succulent plu rooftop moin peu bruyant nuit manque quune salle sport parfaire service hôtel,22
Nabil Boubaker,,,No Title (Google Maps),"Nous avons passé un excellent séjour dans la suite Hannibal, rien à dire sur la chambre vraiment parfaite.
Je tiens à remercier Saoussen à l accueil pour sa disponibilité et son sourire …",Google Maps,"nous avons passé un excellent séjour dans la suite hannibal rien à dire sur la chambre vraiment parfaite
je tiens à remercier saoussen à l accueil pour sa disponibilité et son sourire",passé excellent séjour suite hannibal rien dire chambre vraiment parfaite tiens remercier saoussen accueil disponibilité sourire,passé excellent séjour suite hannibal rien dire chambre vrai parfaite tien remercier saoussen accueil disponibilité sourire,16
yassine ksibi,,,No Title (Google Maps),"Petit hotel de centre ville, bon emplacement et service trés aimable.
Chambres propres , bon rapport qualité prix.  Les petits moins : pas de vue sur rue et bruits des sonos des deux bars de l'hotel les nuits du week-end. Je recommande, Difficile de trouver mieux pour ce prix.",Google Maps,"petit hotel de centre ville bon emplacement et service trés aimable
chambres propres  bon rapport qualité prix  les petits moins  pas de vue sur rue et bruits des sonos des deux bars de lhotel les nuits du weekend je recommande difficile de trouver mieux pour ce prix",petit hotel centre ville bon emplacement service trés aimable chambres propres bon rapport qualité prix petits moins vue rue bruits sonos deux bars lhotel nuits weekend recommande difficile trouver mieux prix,petit hotel centre ville bon emplace service tré aimable chambre propre bon rapport qualité prix petit moin vue rue bruit sono deux bar lhotel nuit weekend recommande difficile trouver mieux prix,31
Kate 2017,,,No Title (Google Maps),"Bonjour je vous déconseille cet hôtel et surtout si c'est un séjour professionnel! Premier soir, ils ont été obliger de me changer les draps, il y avait des tâches de nourriture...Chambre très mal insonorisée! On demande un taxi pour se …",Google Maps,bonjour je vous déconseille cet hôtel et surtout si cest un séjour professionnel premier soir ils ont été obliger de me changer les draps il y avait des tâches de nourriturechambre très mal insonorisée on demande un taxi pour se,bonjour déconseille hôtel surtout si cest séjour professionnel premier soir ont été obliger changer draps tâches nourriturechambre très mal insonorisée demande taxi,bonjour déconseille hôtel surtout si cest séjour professionnel premier soir ont été obliger changer drap tâche nourriturechambre trè mal insonorisée demande taxi,22
Kati Seray,,,No Title (Google Maps),Je pense commencer par le positif alors pour les chambres je n’ai rien à dire c’est un 10/10 pour la réception aussi personnel à l’écoute du client mais se pendants 2 point sont déplaisants …,Google Maps,je pense commencer par le positif alors pour les chambres je nai rien à dire cest un  pour la réception aussi personnel à lécoute du client mais se pendants  point sont déplaisants,pense commencer positif chambres nai rien dire cest réception personnel lécoute client pendants point sont déplaisants,pense commencer positif chambre nai rien dire cest réception personnel lécoute client pendant point sont déplaisant,16
Ben yasmina,,,No Title (Google Maps),"Le business hôtel est un hôtel où l’on se sent comme chez soi.ce mérite revient au personnel chaleureux dynamique ,sympathique et surtout professionnel qui sont …",Google Maps,le business hôtel est un hôtel où lon se sent comme chez soice mérite revient au personnel chaleureux dynamique sympathique et surtout professionnel qui sont,business hôtel est hôtel où lon sent chez soice mérite revient personnel chaleureux dynamique sympathique surtout professionnel sont,busines hôtel est hôtel où lon sent chez soice mérite revient personnel chaleureux dynamique sympathique surtout professionnel sont,18
Solianne ALLY,,,No Title (Google Maps),"Excellent hôtel, personnel disponible, souriant, agréable et très gentil.
Room service de qualité.
Chambre propre, lit très confortable. …",Google Maps,"excellent hôtel personnel disponible souriant agréable et très gentil
room service de qualité
chambre propre lit très confortable",excellent hôtel personnel disponible souriant agréable très gentil room service qualité chambre propre lit très confortable,excellent hôtel personnel disponible souriant agréable trè gentil room service qualité chambre propre lit trè confortable,16
Laurence Godard,,,No Title (Google Maps),"Un service irréprochable. Les collaboratrices et collaborateurs de cet établissement sont très cordiaux et efficaces. La chambre est très confortable. Le lit est de haute qualité et le service de chambre est super.
Un établissement que je recommande pour toutes leurs prestations.",Google Maps,"un service irréprochable les collaboratrices et collaborateurs de cet établissement sont très cordiaux et efficaces la chambre est très confortable le lit est de haute qualité et le service de chambre est super
un établissement que je recommande pour toutes leurs prestations",service irréprochable collaboratrices collaborateurs établissement sont très cordiaux efficaces chambre est très confortable lit est haute qualité service chambre est super établissement recommande toutes leurs prestations,service irréprochable collaboratrice collaborateur établisse sont trè cordiaux efficace chambre est trè confortable lit est haute qualité service chambre est super établisse recommande toute leur prestation,26
Wiem Dhakouani,,,No Title (Google Maps),"Concernant The Luna Sky Lounge au 6 ème
Belle endroit, ambiance très bonne, repas copieux et délicieux. Le bémol musique très forte donc pas pratique pour une soirée en groupe pour s’entendre parler. Les serveurs sont chaleureux, accueillant et a l’écou",Google Maps,"concernant the luna sky lounge au  ème
belle endroit ambiance très bonne repas copieux et délicieux le bémol musique très forte donc pas pratique pour une soirée en groupe pour sentendre parler les serveurs sont chaleureux accueillant et a lécou",concernant the luna sky lounge ème belle endroit ambiance très bonne repas copieux délicieux bémol musique très forte donc pratique soirée groupe sentendre parler serveurs sont chaleureux accueillant lécou,concernant the luna sky lounge ème belle endroit ambiance trè bonne repa copieux délicieux bémol musique trè forte donc pratique soirée groupe sentendre parler serveur sont chaleureux accueillant lécou,29
eric bogneaux,,,No Title (Google Maps),Service parfait très belle accueil et personnel au top très très belle chambre à recommander  monsieur eric!!,Google Maps,service parfait très belle accueil et personnel au top très très belle chambre à recommander  monsieur eric,service parfait très belle accueil personnel top très très belle chambre recommander monsieur eric,service parfait trè belle accueil personnel top trè trè belle chambre recommander monsieur eric,14
